1,Roger Federer,116222182,4336500,4336500,0
2,Novak Djokovic,110150262,344858,337128,7730
3,Rafael Nadal,96706186,2117558,2117558,0
4,Andy Murray,60807644,0,0,0
5,Pete Sampras,43280489,0,0,0
6,Andre Agassi,31152975,0,0,0
7,David Ferrer,31017909,221348,213618,7730
8,Stan Wawrinka,30955510,133566,133566,0
9,Tomas Berdych,28798852,578699,578699,0
10,Boris Becker,25080956,0,0,0
11,Yevgeny Kafelnikov,23883797,0,0,0
12,Marin Cilic,22831016,1911739,1911739,0
13,Ivan Lendl,21262417,0,0,0
14,Juan Martin del Potro,21072569,2199566,2191836,7730
15,Jo Wilfried Tsonga,20953386,144517,144517,0
16,Lleyton Hewitt,20824405,36819,0,36819
17,Andy Roddick,20640030,0,0,0
18,Stefan Edberg,20630941,0,0,0
19,Goran Ivanisevic,19878007,0,0,0
20,Michael Chang,19145632,0,0,0
21,Kei Nishikori,18349103,724974,724974,0
22,Milos Raonic,16440134,636019,634804,1215
23,Richard Gasquet,16285388,444638,439093,5545
24,Nikolay Davydenko,16186480,0,0,0
25,Bob Bryan,15305075,609252,0,609252
26,Grigor Dimitrov,15172493,1088515,1067084,21431
27,Feliciano Lopez,15167519,527509,351801,175708
28,Fernando Verdasco,15081269,590389,499681,90708
29,Mike Bryan,15079895,609252,0,609252
30,Gustavo Kuerten,14807000,0,0,0
31,Jonas Bjorkman,14610671,0,0,0
32,Marat Safin,14373291,0,0,0
33,John Isner,14272717,1705252,1471137,234115
34,Gael Monfils,14189326,444948,434688,10260
35,Jim Courier,14034132,0,0,0
36,Mikhail Youzhny,14019688,155879,153026,2853
37,Juan Carlos Ferrero,13998165,0,0,0
38,Tommy Haas,13609987,0,0,0
39,Carlos Moya,13443970,0,0,0
40,Tommy Robredo,13209141,36780,30066,6714
41,Gilles Simon,12788385,312862,302187,10675
42,Daniel Nestor,12783772,44357,0,44357
43,Michael Stich,12595128,0,0,0
44,John McEnroe,12552132,0,0,0
45,Thomas Muster,12266977,0,0,0
46,Max Mirnyi,11673050,73985,0,73985
47,Tim Henman,11635542,0,0,0
48,Sergi Bruguera,11632199,0,0,0
49,Radek Stepanek,11343464,0,0,0
50,Philipp Kohlschreiber,11136118,399192,391462,7730
51,Patrick Rafter,11133128,0,0,0
52,David Nalbandian,11123125,0,0,0
53,Kevin Anderson,10970092,728472,727177,1295
54,Nicolas Almagro,10742287,0,0,0
55,Thomas Enqvist,10461641,0,0,0
56,Sam Querrey,10460991,483483,383978,99505
57,Petr Korda,10448900,0,0,0
58,Robin Soderling,10423124,0,0,0
59,Alex Corretja,10411354,0,0,0
60,Dominic Thiem,10232572,725074,712959,12115
61,Ivan Ljubicic,10181121,0,0,0
62,Todd Woodbridge,10078820,0,0,0
