1,Serena Williams,USA,84525911
2,Venus Williams,USA,40452418
3,Maria Sharapova,RUS,37213084
4,Caroline Wozniacki,DEN,30179573
5,Victoria Azarenka,BLR,28806789
6,Agnieszka Radwanska,POL,27483167
7,Petra Kvitova,CZE,24973980
8,Martina Hingis,SUI,24749074
9,Kim Clijsters,BEL,24442340
10,Svetlana Kuznetsova,RUS,24259905
11,Simona Halep,ROU,22996313
12,Angelique Kerber,GER,22874964
13,Lindsay Davenport,USA,22166338
14,Steffi Graf,GER,21895277
15,Martina Navratilova,USA,21626089
16,Justine Henin,BEL,20863335
17,Jelena Jankovic,SRB,19089259
18,Samantha Stosur,AUS,17236996
19,Arantxa Sanchez Vicario,ESP,16942640
20,Na Li,CHN,16709074
21,Garbine Muguruza,ESP,16268012
22,Ana Ivanovic,SRB,15510787
23,Amelie Mauresmo,FRA,15022476
24,Monica Seles,USA,14891762
25,Elena Dementieva,RUS,14867437
26,Flavia Pennetta,ITA,14197886
27,Vera Zvonareva,RUS,13638799
28,Sara Errani,ITA,13029282
29,Nadia Petrova,RUS,12466924
30,Dominika Cibulkova,SVK,12429204
31,Elena Vesnina,RUS,12217074
32,Lucie Safarova,CZE,12200695
33,Ekaterina Makarova,RUS,12019584
34,Roberta Vinci,ITA,11798758
35,Karolina Pliskova,CZE,11786121
36,Conchita Martinez,ESP,11527977
37,Francesca Schiavone,ITA,11263539
38,Jana Novotna,CZE,11249284
39,Marion Bartoli,FRA,11055114
40,Dinara Safina,RUS,10585640
41,Daniela Hantuchova,SVK,10436407
42,Jennifer Capriati,USA,10206639
43,Lisa Raymond,USA,10026193
44,Mary Pierce,FRA,9793119
45,Sloane Stephens,USA,9787215
46,Carla Suarez Navarro,ESP,9702041
47,Shuai Peng,CHN,8911168
48,Chris Evert,USA,8896195
49,Elina Svitolina,UKR,8818831
50,Gabriela Sabatini,ARG,8785850
51,Patty Schnyder,SUI,8499681
52,Anastasia Pavlyuchenkova,RUS,8204562
53,Ai Sugiyama,JPN,8128126
54,Madison Keys,USA,7987862
55,Caroline Garcia,FRA,7859297
56,Katarina Srebotnik,SLO,7804308
57,Natasha Zvereva,BLR,7792503
58,Cara Black,ZIM,7730801
59,Barbora Strycova,CZE,7691450
60,Kristina Mladenovic,FRA,7548334
61,Julia Goerges,GER,7014087
62,Sabine Lisicki,GER,6994810
63,Sania Mirza,IND,6930345
64,Maria Kirilenko,RUS,6855919
65,Bethanie Mattek Sands,USA,6830959
66,Andrea Petkovic,GER,6723743
67,Nathalie Tauziat,FRA,6650093
68,Yaroslava Shvedova,KAZ,6437404
69,Johanna Konta,GBR,6428620
70,Helena Sukova,CZE,6391245
71,Coco Vandeweghe,USA,6359624
72,Liezel Huber,USA,6303795
73,Elena Likhovtseva,RUS,6237556
74,Jie Zheng,CHN,6157773
75,Alize Cornet,FRA,6137723
76,Timea Bacsinszky,SUI,6093708
77,Virginia Ruano Pascual,ESP,6076081
78,Jelena Ostapenko,LAT,5953601
79,Anabel Medina Garrigues,ESP,5927530
80,Eugenie Bouchard,CAN,5838337
81,Anastasia Myskina,RUS,5606725
82,Amanda Coetzer,RSA,5594821
83,Pam Shriver,USA,5460566
84,Su Wei Hsieh,TPE,5354747
85,Monica Niculescu,ROU,5334613
86,Mary Joe Fernandez,USA,5258471
87,Paola Suarez,ARG,5217775
88,Rennae Stubbs,AUS,5198172
89,Kveta Peschke,CZE,5148885
90,Shahar Peer,ISR,5148411
91,Kaia Kanepi,EST,5120887
92,Lucie Hradecka,CZE,4994206
93,Latisha Chan,TPE,4795924
94,Anke Huber,GER,4768292
95,Timea Babos,HUN,4697948
96,Gigi Fernandez,USA,4681906
97,Yanina Wickmayer,BEL,4653467
98,Zina Garrison,USA,4590816
99,Andrea Sestini Hlavackova,CZE,4587233
100,Tsvetana Pironkova,BUL,4497095
101,Sorana Cirstea,ROU,4491918
102,Jelena Dokic,AUS,4481044
103,Chanda Rubin,USA,4470180
104,Magdalena Rybarikova,SVK,4439220
105,Iva Majoli,CRO,4407522
106,Magdalena Maleeva,BUL,4398582
107,Nathalie Dechy,FRA,4281064
108,Varvara Lepchenko,USA,4276117
109,Mirjana Lucic Baroni,CRO,4253458
110,Gisela Dulko,ARG,4246105
111,Casey Dellacqua,AUS,4233102
112,Vania King,USA,4186544
113,Irina Camelia Begu,ROU,4151064
114,Klara Koukalova,CZE,4084344
115,Larisa Neiland,LAT,4083936
116,Anna Lena Groenefeld,GER,4011419
117,Maria Jose Martinez Sanchez,ESP,3992217
118,Kimiko Date,JPN,3988378
119,Kirsten Flipkens,BEL,3978332
120,Meghann Shaughnessy,USA,3975223
121,Anna Chakvetadze,RUS,3909756
122,Shuai Zhang,CHN,3787490
123,Sandrine Testud,FRA,3782307
124,Kiki Bertens,NED,3781237
125,Silvia Farina Elia,ITA,3688252
126,Anastasija Sevastova,LAT,3673378
127,Kateryna Bondarenko,UKR,3660524
128,Anna Kournikova,RUS,3584662
129,Anastasia Rodionova,AUS,3523538
130,Christina Mchale,USA,3509019
131,Virginie Razzano,FRA,3503195
132,Daria Kasatkina,RUS,3499958
133,Tamarine Tanasugarn,THA,3488278
134,Amy Frazier,USA,3460799
135,Lori Mcneil,USA,3441604
136,Hana Mandlikova,AUS,3340959
137,Iveta Melzer,CZE,3329488
138,Manuela Maleeva Fragniere,SUI,3244811
139,Belinda Bencic,SUI,3218619
140,Vera Dushevina,RUS,3204753
141,Alicia Molik,AUS,3185805
142,Alla Kudryavtseva,RUS,3141261
143,Johanna Larsson,SWE,3129105
144,Barbara Schett,AUT,3109510
145,Mona Barthel,GER,3108974
146,Julie Halard Decugis,FRA,3096734
147,Olga Govortsova,BLR,3053114
148,Ashleigh Barty,AUS,2941548
