Player,Points,Status
Guillermo Vilas,176,
Arthur Ashe,143,
Ken Rosewall,140,
Michael Chang,139,
Manuel Orantes,139,
Rod Laver,131,
Goran Ivanisevic,127,
Michael Stich,123,
Tommy Haas,118,
Stan Smith,118,
Alex Corretja,118,
Petr Korda,115,
Magnus Norman,113,
David Ferrer,103,
Yannick Noah,102,
Stanislas Wawrinka,101,Active
Vitas Gerulaitis,101,
Brian Gottfried,101,
Andres Gomez,100,
Juan Martin Del Potro,100,Active
Tom Okker,98,
Nikolay Davydenko,97,
Sergi Bruguera,97,
Brad Gilbert,97,
Richard Krajicek,96,
Marin Cilic,96,Active
Roscoe Tanner,95,
Raul Ramirez,95,
Thomas Enqvist,95,
Jo Wilfried Tsonga,92,Active
Greg Rusedski,91,
Gene Mayer,91,
Tomas Berdych,89,Active
Fernando Gonzalez,89,
Tommy Robredo,88,
Robin Soderling,87,
Gaston Gaudio,87,
Andrei Medvedev,87,
Kei Nishikori,87,Active
Guy Forget,87,
David Nalbandian,87,
Tim Henman,87,
James Blake,86,
Pat Cash,86,
Henri Leconte,86,
Guillermo Coria,86,
Ivan Ljubicic,86,
Milos Raonic,84,Active
Grigor Dimitrov,84,Active
Anders Jarryd,84,
Todd Martin,84,
Dominic Thiem,84,Active
Jiri Novak,83,
Nicolas Kiefer,83,
Jonas Bjorkman,83,
Alexander Zverev,82,Active
Kevin Curren,81,
Cedric Pioline,81,
Jimmy Arias,81,
Rainer Schuettler,80,
Sebastien Grosjean,80,
Jose Luis Clerc,77,
Eddie Dibbs,73,
Harold Solomon,73,
Johan Kriek,71,
Jose Higueras,69,
Emilio Sanchez,67,
Marc Rosset,67,
Albert Costa,67,
Wayne Ferreira,66,
Magnus Gustafsson,66,
Alberto Berasategui,65,
Richard Gasquet,65,
Martin Jaite,64,
Joakim Nystrom,64,
Karel Novacek,64,
Nicolas Almagro,64,
Gilles Simon,64,
John Isner,63,
Tim Mayotte,63,
Thomas Johansson,63,
Eliot Teltscher,62,
Felix Mantilla,62,
Mark Philippoussis,62,
Mikhail Youzhny,61,
Juan Monaco,61,
Kent Carlsson,61,
Sandy Mayer,61,
Aaron Krickstein,60,
Dick Stockton,59,
John Alexander,59,
Carlos Costa,58,
Andrei Chesnokov,58,
Gael Monfils,58,
Guillermo Canas,58,
Fernando Verdasco,58,
Karol Kucera,58,
Magnus Larsson,58,
Janko Tipsarevic,57,
Ernests Gulbis,57,
Radek Stepanek,57,
