Player,Points,Status
Guillermo Vilas,176,
Arthur Ashe,143,
Ken Rosewall,140,
Michael Chang,139,
Manuel Orantes,139,
Rod Laver,131,
Goran Ivanisevic,127,
Michael Stich,123,
Stan Smith,118,
Petr Korda,115,
Yannick Noah,102,
Stanislas Wawrinka,101,Active
Andres Gomez,100,
Juan Martin Del Potro,100,Active
Sergi Bruguera,97,
Richard Krajicek,96,
Marin Cilic,96,Active
Roscoe Tanner,95,
Gaston Gaudio,87,
Pat Cash,86,
Johan Kriek,71,
Albert Costa,67,
Thomas Johansson,63,
Brian Teacher,52,
Mark Edmondson,30,
