Player,Points,Status
Conchita Martinez,174,
Jana Novotna,160,
Petra Kvitova,159,Active
Agnieszka Radwanska,151,Active
Svetlana Kuznetsova,147,Active
Gabriela Sabatini,139,
Na Li,132,
Hana Mandlikova,127,
Tracy Austin,126,
Vera Zvonareva,124,
Mary Pierce,119,
Pam Shriver,117,
Anastasia Myskina,116,
Manuela Maleeva Fragniere,113,
Elena Dementieva,105,
Zina Garrison,105,
Samantha Stosur,104,Active
Nadia Petrova,100,
Helena Sukova,99,
Francesca Schiavone,97,
Anke Huber,97,
Dominika Cibulkova,96,Active
Nathalie Tauziat,95,
Magdalena Maleeva,94,
Elina Svitolina,94,Active
Iva Majoli,94,
Sara Errani,94,
Lucie Safarova,93,
Wendy Turnbull,93,
Billie Jean King,93,
Andrea Jaeger,92,
Amanda Coetzer,92,
Daniela Hantuchova,92,
Mary Joe Fernandez,91,
Claudia Kohde Kilsch,87,
Anna Chakvetadze,85,
Johanna Konta,85,Active
Jelena Dokic,83,
Jo Durie,80,
Eugenie Bouchard,78,
Kathy Jordan,78,
Flavia Pennetta,76,
Patty Schnyder,75,
Katerina Maleeva,74,
Julie Halard Decugis,74,
Marion Bartoli,73,
Lori Mcneil,72,
Roberta Vinci,70,
Ai Sugiyama,67,
Brenda Schultz Mccarthy,66,
Andrea Petkovic,65,
Ekaterina Makarova,64,
Sandra Cecchini,63,
Barbara Paulus,63,
Julia Goerges,62,
Caroline Garcia,62,Active
Alicia Molik,62,
Maria Kirilenko,62,
Barbara Potter,61,
Anastasia Pavlyuchenkova,61,
Chanda Rubin,61,
Irina Spirlea,60,
Dominique Monami,60,
Carla Suarez Navarro,60,Active
Madison Keys,60,Active
Timea Bacsinszky,60,Active
Virginia Ruzici,59,
Andrea Temesvari,59,
Nicole Vaidisova,58,
Kristina Mladenovic,58,
Coco Vandeweghe,58,
Belinda Bencic,58,
Barbara Schett,57,
Bettina Bunge,57,
Kathy Rinaldi Stunkel,57,
Sandrine Testud,57,
Paola Suarez,57,
Sylvia Hanika,57,
Jelena Ostapenko,57,
Sabine Appelmans,56,
Amy Frazier,56,
Sloane Stephens,56,
Elena Vesnina,55,
Anna Smashnova,55,
Lisa Raymond,55,
Karina Habsudova,53,
Yayuk Basuki,53,
Anabel Medina Garrigues,53,
Alize Cornet,51,
Elena Likhovtseva,51,
Leila Meskhi,51,
Katarina Srebotnik,51,
Sabine Lisicki,51,
Judith Wiesner,51,
Shuai Peng,50,
Jie Zheng,50,
Naoko Sawamatsu,49,
Ruxandra Dragomir Ilie,49,
Sabine Hack,48,
Tamarine Tanasugarn,48,
Maria Jose Martinez Sanchez,48,
Aravane Rezai,48,
Fabiola Zuluaga,48,
Kaia Kanepi,48,
Meghann Shaughnessy,48,
Meredith Mcgrath,47,
Agnes Szavay,47,
Shahar Peer,47,
Yanina Wickmayer,47,
Eleni Daniilidou,47,
Patty Fendick,47,
Magdalena Rybarikova,46,
Gigi Fernandez,46,
Kiki Bertens,46,
Robin White,45,
Klara Koukalova,45,
Magui Serna,45,
Silvia Farina Elia,45,
Dianne Balestrat,45,
Virginie Razzano,44,
Elena Bovina,44,
Anastasija Sevastova,44,
Alisa Kleybanova,44,
Sybille Bammer,44,
Alona Bondarenko,44,
Iroda Tulyaganova,44,
Anne Kremer,43,
Silvija Talaja,43,
Elise Mertens,43,
Tatiana Golovin,43,
Nathalie Dechy,43,
Daria Gavrilova,43,
Kirsten Flipkens,43,
Anna Lena Groenefeld,43,
Ashleigh Barty,43,
Ana Konjuh,42,
Henrieta Nagyova,35,
Virginia Ruano Pascual,31,
Linda Wild,31,
Virginia Wade,31,
Mima Jausovec,29,
Yaroslava Shvedova,27,
Sania Mirza,27,
Mercedes Paz,27,
Nicole Bradtke,27,
Mona Barthel,27,
Gisela Dulko,26,
Monica Niculescu,26,
Irina Camelia Begu,26,
Alexandra Dulgheru,26,
Tamira Paszek,26,
Shuai Zhang,25,
Lesia Tsurenko,25,
Emilie Loit,25,
Michaella Krajicek,25,
Timea Babos,25,
Joannette Kruger,25,
Manon Bollegraf,24,
Misaki Doi,24,
Asa Svensson,24,
Cristina Torrens Valero,24,
Kateryna Bondarenko,24,
Kveta Peschke,24,
Sofia Arvidsson,24,
Rita Grande,24,
Shinobu Asagoe,24,
Su Wei Hsieh,24,
Barbara Rittner,24,
Monica Puig,24,
Betsy Nagelsen,23,
Kristina Brandi,23,
Lauren Davis,23,
Corina Morariu,23,
Christina Mchale,23,
Sorana Cirstea,23,
Patricia Hy Boulais,23,
Elna Reinach,23,
Mariaan De Swardt,23,
Tathiana Garbin,23,
Camila Giorgi,23,
Anna Karolina Schmiedlova,23,
Aleksandra Wozniak,23,
Laura Siegemund,23,
Gala Leon Garcia,22,
Mara Santangelo,22,
Anett Kontaveit,22,
Tina Pisnik,22,
Cara Black,17,
Melinda Czink,15,
Heather Watson,15,
Annika Beck,14,
Lourdes Dominguez Lino,14,
Karin Knapp,14,
Pauline Parmentier,14,
Akiko Morigami,14,
Katerina Siniakova,14,
Polona Hercog,14,
Nuria Llagostera Vives,14,
Tsvetana Pironkova,14,
Kurumi Nara,13,
Vania King,13,
Greta Arn,13,
Donna Vekic,13,
Zarina Diyas,13,
Martina Sucha,13,
Teliana Pereira,13,
Johanna Larsson,13,
Maria Sanchez Lorenzo,13,
Alison Riske,13,
Jill Craybas,13,
Nicole Pratt,13,
Marina Erakovic,13,
Kristyna Pliskova,13,
Vera Dushevina,13,
Mariana Diaz Oliva,12,
Meilen Tu,12,
Chanelle Scheepers,12,
Melanie Oudin,12,
Qiang Wang,12,
Alison Van Uytvanck,12,
Aleksandra Krunic,12,
Zi Yan,12,
Carina Witthoeft,12,
Yvonne Meusburger,12,
Oceane Dodin,12,
Ksenia Pervak,12,
Lara Arruabarrena,7,
Alla Kudryavtseva,5,
Irina Falconi,4,
Evgeniya Rodina,4,
Alberta Brianti,4,
Mandy Minella,4,
Nao Hibino,4,
Mariana Duque Marino,4,
Cagla Buyukakcay,4,
