Player,Points,Status
Marcelo Rios,126,
David Ferrer,122,
Jo Wilfried Tsonga,111,Active
Nikolay Davydenko,111,
Tomas Berdych,108,Active
Thomas Enqvist,104,
Brian Gottfried,102,
Alex Corretja,102,
Tommy Haas,102,
Vitas Gerulaitis,102,
Kei Nishikori,101,Active
Greg Rusedski,98,
Grigor Dimitrov,98,Active
Brad Gilbert,98,
Tom Okker,98,
Milos Raonic,98,Active
Tommy Robredo,97,
Tim Henman,96,
Fernando Gonzalez,96,
David Nalbandian,96,
Robin Soderling,96,
Raul Ramirez,96,
Ivan Ljubicic,95,
Dominic Thiem,93,Active
Jonas Bjorkman,92,
Andrei Medvedev,92,
James Blake,91,
Todd Martin,91,
Gene Mayer,91,
Alexander Zverev,89,Active
Magnus Norman,89,
Guy Forget,88,
Jiri Novak,88,
Nicolas Kiefer,88,
Guillermo Coria,87,
Henri Leconte,87,
Sebastien Grosjean,87,
Cedric Pioline,86,
Anders Jarryd,85,
Rainer Schuettler,85,
Kevin Curren,82,
Jimmy Arias,81,
Richard Gasquet,79,
Jose Luis Clerc,77,
Eddie Dibbs,74,
Harold Solomon,73,
Wayne Ferreira,73,
Gilles Simon,73,Active
Nicolas Almagro,73,
John Isner,72,Active
Fernando Verdasco,72,
Marc Rosset,72,
Mikhail Youzhny,70,
Jose Higueras,69,
Emilio Sanchez,68,
Juan Monaco,68,
Magnus Gustafsson,67,
Gael Monfils,67,
Mark Philippoussis,67,
Alberto Berasategui,66,
Radek Stepanek,66,
Joakim Nystrom,65,
Karel Novacek,65,
Martin Jaite,64,
Janko Tipsarevic,64,
Tim Mayotte,64,
Kevin Anderson,63,
Felix Mantilla,63,
Jurgen Melzer,63,
Marcos Baghdatis,62,
Mardy Fish,62,
Jack Sock,62,
David Goffin,62,
Ernests Gulbis,62,
Eliot Teltscher,62,
Feliciano Lopez,61,
Aaron Krickstein,61,
Kent Carlsson,61,
Nicolas Lapentti,61,
Sandy Mayer,61,
Sam Querrey,60,
Arnaud Clement,60,
Carlos Costa,59,
Magnus Larsson,59,
John Alexander,59,
Guillermo Canas,59,
Andrei Chesnokov,59,
Dick Stockton,59,
Karol Kucera,59,
Pablo Carreno Busta,59,
Nicolas Massu,58,
Philipp Kohlschreiber,58,
Vijay Amritraj,57,
Ivo Karlovic,57,
Jonas Svensson,57,
Wojtek Fibak,57,
Paradorn Srichaphan,57,
Jakob Hlasek,57,
Thierry Tulasne,56,
Fabrice Santoro,56,
Roberto Bautista Agut,55,
Mario Ancic,55,
Balazs Taroczy,54,
Alberto Mancini,54,
Joachim Johansson,54,
Mariano Puerta,54,
Mikael Pernfors,54,
Jay Berger,54,
Fabio Fognini,53,
Dominik Hrbaty,53,
Juan Ignacio Chela,53,
Tomas Smid,53,
Viktor Troicki,53,
Marcel Granollers,52,
Pablo Cuevas,52,
Mark Woodforde,52,
Todd Woodbridge,52,
Max Mirnyi,51,
Andreas Seppi,51,
Sjeng Schalken,51,
Guillermo Perez Roldan,50,
Jaime Yzaga,50,
Robert Lutz,50,
Francisco Clavet,50,
Paul Henri Mathieu,50,
Alexandr Dolgopolov,49,
Florian Mayer,49,
Dmitry Tursunov,49,
Jarkko Nieminen,48,
Amos Mansdorf,48,
Lucas Pouille,47,
Younes El Aynaoui,47,
Paul Haarhuis,47,
Bill Scanlon,47,
Nicolas Escude,46,
Igor Andreev,46,
Nick Kyrgios,46,
Jacco Eltingh,46,
Jan Siemerink,46,
Jason Stoltenberg,46,
Franco Squillari,45,
Carl Uwe Steeb,45,
Jose Acasuso,45,
Andrea Gaudenzi,45,
David Wheaton,45,
Jan Michael Gambill,45,
Stefan Koubek,45,
Andrei Pavel,45,
Wally Masur,45,
Scott Davis,45,
Bernard Tomic,45,
Arnaud Boetsch,45,
Xavier Malisse,45,
Horst Skoff,45,
Richey Reneberg,45,
Agustin Calleri,45,
Robby Ginepri,45,
Alexander Volkov,45,
Tim Gullikson,44,
Renzo Furlan,44,
Peter Fleming,44,
David Pate,44,
Paul Annacone,44,
Andrei Cherkasov,44,
Albert Portas,43,
Benoit Paire,43,
Vincent Spadea,43,
Christo Van Rensburg,43,
Omar Camporese,43,
Martin Verkerk,43,
Slobodan Zivojinovic,43,
Pavel Slozil,43,
Goran Prpic,42,
Derrick Rostagno,42,
Gilbert Schaller,42,
Michael Llodra,33,
Guillermo Garcia Lopez,31,
Ramesh Krishnan,29,
Albert Montanes,28,
Luiz Mattar,28,
John Fitzgerald,28,
Jeremy Chardy,27,
Ivan Dodig,27,
Marcelo Filippini,27,
Jordi Arrese,27,
Tim Wilkison,27,
Martin Klizan,27,
Thomaz Bellucci,26,
Javier Sanchez,26,
Taylor Dent,26,
Heinz Gunthardt,26,
Richard Fromberg,26,
Fernando Vicente,25,
David Prinosil,25,
Slava Dosedel,25,
Mariano Zabaleta,25,
Ronald Agenor,25,
Bohdan Ulihrach,25,
Fernando Meligeni,25,
Filippo Volandri,25,
Lukas Rosol,24,
Byron Black,24,
Marc Kevin Goellner,24,
Damir Dzumhur,24,
Leonardo Mayer,24,
Gilles Muller,24,
Steve Johnson,24,
Javier Frana,24,
Jerome Golmard,24,
Bernd Karbacher,24,
Jim Grabb,24,
Peter Lundgren,24,
Olivier Rochus,24,
Karim Alami,24,
Franco Davin,24,
Joao Sousa,24,
Victor Hanescu,23,
Karen Khachanov,23,
Chris Woodruff,23,
Darren Cahill,23,
Hicham Arazi,23,
Diego Perez,22,
Jan Gunnarsson,22,
Libor Pimek,22,
Nicolas Mahut,22,
Eric Jelen,22,
Sergiy Stakhovsky,16,
Alberto Martin,15,
Pablo Andujar,15,
Kenneth Carlsen,15,
Nicklas Kulti,15,
Horacio De La Pena,15,
Florent Serra,14,
Jeff Tarango,14,
Kim Warwick,14,
Carlos Berlocq,14,
Davide Sanguinetti,14,
Tomas Carbonell,14,
Steve Darcis,14,
Andrei Olhovskiy,14,
Federico Delbonis,14,
Horacio Zeballos,14,
Denis Istomin,14,
Robin Haase,14,
Jonathan Stark,14,
Jaime Oncins,13,
Philipp Petzschner,13,
Gianluca Pozzi,13,
Borna Coric,13,
Mikael Tillstrom,13,
Andrew Ilie,13,
Ryan Harrison,13,
Andrey Rublev,13,
Benjamin Becker,13,
Jiri Vesely,13,
Sargis Sargsian,13,
Hyung Taik Lee,13,
Stefano Pescosolido,13,
Andrey Golubev,13,
Sergio Casal,13,
Filip Dewulf,13,
Guillaume Raoux,13,
Mikhail Kukushkin,13,
Paolo Lorenzi,13,
David Sanchez,13,
Guido Pella,13,
Luis Horna,13,
Wayne Arthurs,13,
Jared Palmer,13,
Jordi Burillo,12,
Daniil Medvedev,12,
Hernan Gumy,12,
Galo Blanco,12,
Adrian Voinea,12,
Julien Boutter,12,
Andreas Vinciguerra,12,
Alex Antonitsch,12,
Jim Pugh,12,
Shuzo Matsuoka,12,
Alex Calatrava,12,
Yuichi Sugita,12,
Arnaud Di Pasquale,12,
Ricardo Mello,12,
Daniele Bracciali,12,
Scott Draper,12,
Leander Paes,11,
Rajeev Ram,6,
Nicolas Pereira,5,
Jan Kroslak,5,
Simon Youl,5,
Lars Burgsmuller,5,
Wesley Moodie,5,
Kelly Jones,5,
Bryan Shelton,5,
Antony Dupuis,4,
Peter Wessels,4,
Santiago Ventura,4,
Sherwood Stewart,4,
Jeremy Bates,4,
Ryan Sweeting,4,
Peter Gojowczyk,4,
Juan Antonio Marin,4,
