Simona Halep,144
Jelena Jankovic,132
Agnieszka Radwanska,126
Dinara Safina,123
Karolina Pliskova,120
Pam Shriver,117
Manuela Maleeva Fragniere,113
Zina Garrison,105
Elena Dementieva,104
Nadia Petrova,100
Vera Zvonareva,99
Helena Sukova,99
Anke Huber,97
Dominika Cibulkova,96
Nathalie Tauziat,95
Sara Errani,94
Magdalena Maleeva,94
Elina Svitolina,94
Lucie Safarova,93
Wendy Turnbull,93
Daniela Hantuchova,92
Amanda Coetzer,92
Andrea Jaeger,92
Mary Joe Fernandez,91
Claudia Kohde Kilsch,87
Anna Chakvetadze,85
Johanna Konta,85
Jelena Dokic,83
Jo Durie,80
Kathy Jordan,78
Eugenie Bouchard,78
Patty Schnyder,75
Julie Halard Decugis,74
Katerina Maleeva,74
Lori Mcneil,72
Roberta Vinci,70
Ai Sugiyama,67
Brenda Schultz Mccarthy,66
Andrea Petkovic,65
Ekaterina Makarova,64
Barbara Paulus,63
Sandra Cecchini,63
Caroline Garcia,62
Julia Goerges,62
Alicia Molik,62
Maria Kirilenko,62
Anastasia Pavlyuchenkova,61
Chanda Rubin,61
Barbara Potter,61
Carla Suarez Navarro,60
Irina Spirlea,60
Madison Keys,60
Dominique Monami,60
Timea Bacsinszky,60
Andrea Temesvari,59
Nicole Vaidisova,58
Kristina Mladenovic,58
Coco Vandeweghe,58
Belinda Bencic,58
Kathy Rinaldi Stunkel,57
Sandrine Testud,57
Sylvia Hanika,57
Bettina Bunge,57
Barbara Schett,57
Paola Suarez,57
Sabine Appelmans,56
Amy Frazier,56
Elena Vesnina,55
Lisa Raymond,55
Anna Smashnova,55
Yayuk Basuki,53
Anabel Medina Garrigues,53
Karina Habsudova,53
Sabine Lisicki,51
Alize Cornet,51
Judith Wiesner,51
Katarina Srebotnik,51
Elena Likhovtseva,51
Leila Meskhi,51
Jie Zheng,50
Shuai Peng,50
Naoko Sawamatsu,49
Ruxandra Dragomir Ilie,49
Sabine Hack,48
Tamarine Tanasugarn,48
Maria Jose Martinez Sanchez,48
Fabiola Zuluaga,48
Kaia Kanepi,48
Meghann Shaughnessy,48
Aravane Rezai,48
Yanina Wickmayer,47
Agnes Szavay,47
Meredith Mcgrath,47
Shahar Peer,47
Eleni Daniilidou,47
Patty Fendick,47
Magdalena Rybarikova,46
Gigi Fernandez,46
Kiki Bertens,46
Robin White,45
Silvia Farina Elia,45
Dianne Balestrat,45
Magui Serna,45
Klara Koukalova,45
Alisa Kleybanova,44
Elena Bovina,44
Iroda Tulyaganova,44
Alona Bondarenko,44
Sybille Bammer,44
Anastasija Sevastova,44
Virginie Razzano,44
Tatiana Golovin,43
Silvija Talaja,43
Ashleigh Barty,43
Elise Mertens,43
Nathalie Dechy,43
Anna Lena Groenefeld,43
Kirsten Flipkens,43
Daria Gavrilova,43
Anne Kremer,43
Ana Konjuh,42
Henrieta Nagyova,35
Linda Wild,31
Virginia Ruano Pascual,31
Sania Mirza,27
Nicole Bradtke,27
Yaroslava Shvedova,27
Mercedes Paz,27
Mona Barthel,27
Alexandra Dulgheru,26
Irina Camelia Begu,26
Tamira Paszek,26
Monica Niculescu,26
Gisela Dulko,26
Michaella Krajicek,25
Emilie Loit,25
Joannette Kruger,25
Lesia Tsurenko,25
Timea Babos,25
Shuai Zhang,25
Manon Bollegraf,24
Monica Puig,24
Barbara Rittner,24
Kateryna Bondarenko,24
Sofia Arvidsson,24
Shinobu Asagoe,24
Kveta Peschke,24
Misaki Doi,24
Cristina Torrens Valero,24
Su Wei Hsieh,24
Rita Grande,24
Asa Svensson,24
Corina Morariu,23
Laura Siegemund,23
Betsy Nagelsen,23
Elna Reinach,23
Lauren Davis,23
Camila Giorgi,23
Tathiana Garbin,23
Kristina Brandi,23
Aleksandra Wozniak,23
Patricia Hy Boulais,23
Mariaan De Swardt,23
Sorana Cirstea,23
Anna Karolina Schmiedlova,23
Christina Mchale,23
Gala Leon Garcia,22
Mara Santangelo,22
Tina Pisnik,22
Anett Kontaveit,22
Cara Black,17
Melinda Czink,15
Heather Watson,15
Karin Knapp,14
Katerina Siniakova,14
Lourdes Dominguez Lino,14
Polona Hercog,14
Annika Beck,14
Nuria Llagostera Vives,14
Tsvetana Pironkova,14
Akiko Morigami,14
Pauline Parmentier,14
Zarina Diyas,13
Maria Sanchez Lorenzo,13
Jill Craybas,13
Greta Arn,13
Vera Dushevina,13
Johanna Larsson,13
Marina Erakovic,13
Kurumi Nara,13
Alison Riske,13
Nicole Pratt,13
Kristyna Pliskova,13
Vania King,13
Donna Vekic,13
Teliana Pereira,13
Martina Sucha,13
Meilen Tu,12
Chanelle Scheepers,12
Alison Van Uytvanck,12
Mariana Diaz Oliva,12
Yvonne Meusburger,12
Oceane Dodin,12
Melanie Oudin,12
Aleksandra Krunic,12
Zi Yan,12
Carina Witthoeft,12
Ksenia Pervak,12
Qiang Wang,12
Lara Arruabarrena,7
Alla Kudryavtseva,5
Cagla Buyukakcay,4
Mandy Minella,4
Irina Falconi,4
Alberta Brianti,4
Evgeniya Rodina,4
Mariana Duque Marino,4
Nao Hibino,4
